"SAINT GERMAIN L'AUXERROIS","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","1 827","100.0","1 798","100.0","1 518","100.0","1 185","100.0","1 096","100.0","1 028","100.0","938","100.0","-6.2","-8.8"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","702","38.4","758","42.2","625","41.2","355","30.0","360","32.8","270","26.3","229","24.4","-25.0","-15.2"
". 2 pièces","","499","27.3","515","28.6","397","26.2","360","30.4","292","26.6","321","31.2","270","28.8","9.9","-15.9"
". 3 pièces","","548","30.0","269","15.0","249","16.4","215","18.1","236","21.5","217","21.1","201","21.4","-8.1","-7.4"
". 4 pièces","","0","","119","6.6","110","7.2","110","9.3","104","9.5","120","11.7","126","13.4","15.4","5.0"
". 5 pièces et plus","","","","137","7.6","137","9.0","145","12.2","104","9.5","100","9.7","112","11.9","-3.8","12.0"
". Non déterminée","","78","4.3","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","1 470","81.8","1 208","79.6","1 080","91.1","1 048","95.6","990","96.3","909","96.9","-5.5","-8.2"
". Chambre d'hôtel meublé","","-","","261","14.5","222","14.6","60","5.1","20","1.8","13","1.3","0","","-35.0","-100.0"
". Pièce indépendante louée ou prêtée","","-","","61","3.4","87","5.7","45","3.8","28","2.6","25","2.4","29","3.1","-10.7","16.0"
". Construction provisoire,hab. de fortune","","-","","6","0.3","1","0.1","0","","0","","0","","0","","",""
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","155","8.6","169","11.1","205","17.3","184","16.8","252","24.5","218","23.2","37.0","-13.5"
". Locataire","","-","","1 364","75.9","1 121","73.8","760","64.1","768","70.1","615","59.8","605","64.5","-19.9","-1.6"
"d'un local loué vide HLM","","-","","-","","-","","-","","40","3.6","60","5.8","68","7.2","50.0","13.3"
"d'un local loué vide non HLM","","-","","-","","-","","-","","668","60.9","517","50.3","501","53.4","-22.6","-3.1"
"d'un local loué meublé","","-","","-","","-","","-","","60","5.5","38","3.7","36","3.8","-36.7","-5.3"
". Logé gratuitement","","-","","279","15.5","228","15.0","220","18.6","144","13.1","161","15.7","115","12.3","11.8","-28.6"
