"ARSENAL","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","7 075","100.0","6 757","100.0","6 550","100.0","5 845","100.0","5 256","100.0","5 070","100.0","5 221","100.0","-3.5","3.0"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","2 184","30.9","2 237","33.1","2 022","30.9","1 590","27.2","1 272","24.2","1 169","23.1","1 246","23.9","-8.1","6.6"
". 2 pièces","","2 237","31.6","2 166","32.1","2 104","32.1","1 795","30.7","1 776","33.8","1 526","30.1","1 593","30.5","-14.1","4.4"
". 3 pièces","","2 415","34.1","1 297","19.2","1 329","20.3","1 305","22.3","1 204","22.9","1 170","23.1","1 127","21.6","-2.8","-3.7"
". 4 pièces","","0","","537","7.9","535","8.2","595","10.2","524","10.0","636","12.5","653","12.5","21.4","2.7"
". 5 pièces et plus","","","","520","7.7","560","8.5","560","9.6","480","9.1","569","11.2","602","11.5","18.5","5.8"
". Non déterminée","","239","3.4","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","5 810","86.0","5 740","87.6","5 520","94.4","5 036","95.8","4 933","97.3","5 114","98.0","-2.0","3.7"
". Chambre d'hôtel meublé","","-","","458","6.8","422","6.4","215","3.7","88","1.7","13","0.3","6","0.1","-85.2","-53.8"
". Pièce indépendante louée ou prêtée","","-","","450","6.7","385","5.9","110","1.9","132","2.5","122","2.4","100","1.9","-7.6","-18.0"
". Construction provisoire,hab. de fortune","","-","","39","0.6","3","0.0","0","","0","","2","0.0","1","0.0","","-50.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","941","13.9","1 240","18.9","1 355","23.2","1 396","26.6","1 688","33.3","1 777","34.0","20.9","5.3"
". Locataire","","-","","4 927","72.9","4 278","65.3","3 610","61.8","3 044","57.9","2 653","52.3","2 684","51.4","-12.8","1.2"
"d'un local loué vide HLM","","-","","-","","-","","-","","8","0.2","132","2.6","154","2.9","1550.0","16.7"
"d'un local loué vide non HLM","","-","","-","","-","","-","","2 784","53.0","2 373","46.8","2 278","43.6","-14.8","-4.0"
"d'un local loué meublé","","-","","-","","-","","-","","252","4.8","148","2.9","252","4.8","-41.3","70.3"
". Logé gratuitement","","-","","889","13.2","1 032","15.8","880","15.1","816","15.5","729","14.4","760","14.6","-10.7","4.3"
