"INVALIDES","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","4 560","100.0","4 426","100.0","4 155","100.0","3 900","100.0","3 712","100.0","3 426","100.0","3 061","100.0","-7.7","-10.7"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","1 169","25.6","1 278","28.9","1 207","29.0","1 085","27.8","956","25.8","779","22.7","604","19.7","-18.5","-22.5"
". 2 pièces","","1 073","23.5","1 065","24.1","963","23.2","855","21.9","816","22.0","795","23.2","704","23.0","-2.6","-11.4"
". 3 pièces","","2 094","45.9","658","14.9","623","15.0","670","17.2","684","18.4","561","16.4","521","17.0","-18.0","-7.1"
". 4 pièces","","0","","424","9.6","397","9.6","375","9.6","464","12.5","489","14.3","435","14.2","5.4","-11.0"
". 5 pièces et plus","","","","1 001","22.6","965","23.2","915","23.5","792","21.3","802","23.4","797","26.0","1.3","-0.6"
". Non déterminée","","224","4.9","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","3 699","83.6","3 453","83.1","3 400","87.2","3 248","87.5","3 259","95.1","2 969","97.0","0.3","-8.9"
". Chambre d'hôtel meublé","","-","","70","1.6","69","1.7","40","1.0","4","0.1","6","0.2","0","","50.0","-100.0"
". Pièce indépendante louée ou prêtée","","-","","640","14.5","630","15.2","455","11.7","460","12.4","157","4.6","92","3.0","-65.9","-41.4"
". Construction provisoire,hab. de fortune","","-","","17","0.4","3","0.1","5","0.1","0","","4","0.1","0","","","-100.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","728","16.4","741","17.8","845","21.7","860","23.2","934","27.3","974","31.8","8.6","4.3"
". Locataire","","-","","2 806","63.4","2 507","60.3","2 165","55.5","2 080","56.0","1 824","53.2","1 596","52.1","-12.3","-12.5"
"d'un local loué vide HLM","","-","","-","","-","","-","","0","","4","0.1","17","0.6","","325.0"
"d'un local loué vide non HLM","","-","","-","","-","","-","","1 892","51.0","1 686","49.2","1 451","47.4","-10.9","-13.9"
"d'un local loué meublé","","-","","-","","-","","-","","188","5.1","134","3.9","128","4.2","-28.7","-4.5"
". Logé gratuitement","","-","","892","20.2","907","21.8","890","22.8","772","20.8","668","19.5","491","16.0","-13.5","-26.5"
