"ECOLE MILITAIRE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","7 702","100.0","7 749","100.0","7 658","100.0","7 265","100.0","7 124","100.0","6 925","100.0","6 623","100.0","-2.8","-4.4"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","1 959","25.4","2 157","27.8","2 280","29.8","2 015","27.7","1 708","24.0","1 688","24.4","1 561","23.6","-1.2","-7.5"
". 2 pièces","","2 035","26.4","2 109","27.2","1 896","24.8","1 875","25.8","1 788","25.1","1 648","23.8","1 525","23.0","-7.8","-7.5"
". 3 pièces","","3 419","44.4","1 244","16.1","1 232","16.1","1 280","17.6","1 348","18.9","1 249","18.0","1 201","18.1","-7.3","-3.8"
". 4 pièces","","0","","734","9.5","746","9.7","710","9.8","944","13.3","992","14.3","956","14.4","5.1","-3.6"
". 5 pièces et plus","","","","1 505","19.4","1 504","19.6","1 385","19.1","1 336","18.8","1 348","19.5","1 380","20.8","0.9","2.4"
". Non déterminée","","289","3.8","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","6 742","87.0","6 338","82.8","6 505","89.5","6 592","92.5","6 565","94.8","6 407","96.7","-0.4","-2.4"
". Chambre d'hôtel meublé","","-","","227","2.9","194","2.5","40","0.6","64","0.9","8","0.1","7","0.1","-87.5","-12.5"
". Pièce indépendante louée ou prêtée","","-","","778","10.0","1 105","14.4","710","9.8","468","6.6","349","5.0","208","3.1","-25.4","-40.4"
". Construction provisoire,hab. de fortune","","-","","2","0.0","21","0.3","10","0.1","0","","3","0.0","1","0.0","","-66.7"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","1 673","21.6","1 903","24.8","2 220","30.6","2 332","32.7","2 466","35.6","2 551","38.5","5.7","3.4"
". Locataire","","-","","4 811","62.1","4 359","56.9","3 790","52.2","3 512","49.3","3 233","46.7","3 110","47.0","-7.9","-3.8"
"d'un local loué vide HLM","","-","","-","","-","","-","","32","0.4","4","0.1","21","0.3","-87.5","425.0"
"d'un local loué vide non HLM","","-","","-","","-","","-","","3 084","43.3","2 908","42.0","2 718","41.0","-5.7","-6.5"
"d'un local loué meublé","","-","","-","","-","","-","","396","5.6","321","4.6","371","5.6","-18.9","15.6"
". Logé gratuitement","","-","","1 265","16.3","1 396","18.2","1 255","17.3","1 280","18.0","1 226","17.7","962","14.5","-4.2","-21.5"
