"CHAMPS ELYSEES","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","4 490","100.0","4 195","100.0","4 088","100.0","3 610","100.0","3 168","100.0","2 603","100.0","2 352","100.0","-17.8","-9.6"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","1 363","30.4","1 375","32.8","1 411","34.5","1 200","33.2","924","29.2","653","25.1","551","23.4","-29.3","-15.6"
". 2 pièces","","882","19.6","870","20.7","787","19.3","685","19.0","716","22.6","595","22.9","607","25.8","-16.9","2.0"
". 3 pièces","","2 054","45.7","471","11.2","496","12.1","550","15.2","464","14.6","469","18.0","402","17.1","1.1","-14.3"
". 4 pièces","","0","","373","8.9","353","8.6","385","10.7","352","11.1","311","11.9","270","11.5","-11.6","-13.2"
". 5 pièces et plus","","","","1 106","26.4","1 041","25.5","790","21.9","712","22.5","575","22.1","522","22.2","-19.2","-9.2"
". Non déterminée","","191","4.3","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","3 271","78.0","3 030","74.1","2 695","74.7","2 536","80.1","2 464","94.7","2 250","95.7","-2.8","-8.7"
". Chambre d'hôtel meublé","","-","","123","2.9","68","1.7","70","1.9","56","1.8","12","0.5","3","0.1","-78.6","-75.0"
". Pièce indépendante louée ou prêtée","","-","","798","19.0","974","23.8","840","23.3","564","17.8","126","4.8","97","4.1","-77.7","-23.0"
". Construction provisoire,hab. de fortune","","-","","3","0.1","16","0.4","5","0.1","12","0.4","1","0.0","2","0.1","-91.7","100.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","544","13.0","593","14.5","635","17.6","612","19.3","622","23.9","542","23.0","1.6","-12.9"
". Locataire","","-","","2 820","67.2","2 579","63.1","2 075","57.5","1 860","58.7","1 471","56.5","1 379","58.6","-20.9","-6.3"
"d'un local loué vide HLM","","-","","-","","-","","-","","8","0.3","2","0.1","39","1.7","-75.0","1850.0"
"d'un local loué vide non HLM","","-","","-","","-","","-","","1 640","51.8","1 349","51.8","1 244","52.9","-17.7","-7.8"
"d'un local loué meublé","","-","","-","","-","","-","","212","6.7","120","4.6","96","4.1","-43.4","-20.0"
". Logé gratuitement","","-","","831","19.8","916","22.4","900","24.9","696","22.0","510","19.6","431","18.3","-26.7","-15.5"
