"EUROPE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","12 548","","100.0","12 261","100.0","11 756","100.0","10 235","100.0","9 564","100.0","8 941","100.0","8 780","100.0","-6.5","-1.8"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","3 843","","30.6","4 066","33.2","3 895","33.1","2 970","29.0","2 376","24.8","2 080","23.3","1 931","22.0","-12.5","-7.2"
". 2 pièces","2 536","","20.2","2 502","20.4","2 353","20.0","2 035","19.9","2 164","22.6","2 012","22.5","1 858","21.2","-7.0","-7.7"
". 3 pièces","5 758","","45.9","1 616","13.2","1 515","12.9","1 405","13.7","1 448","15.1","1 438","16.1","1 405","16.0","-0.7","-2.3"
". 4 pièces","","0","","1 343","11.0","1 295","11.0","1 505","14.7","1 364","14.3","1 394","15.6","1 427","16.3","2.2","2.4"
". 5 pièces et plus","","","","2 734","22.3","2 698","22.9","2 320","22.7","2 212","23.1","2 017","22.6","2 159","24.6","-8.8","7.0"
". Non déterminée","","411","3.3","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","9 990","81.5","8 940","76.0","8 445","82.5","8 228","86.0","8 403","94.0","8 440","96.1","2.1","0.4"
". Chambre d'hôtel meublé","","-","","375","3.1","326","2.8","125","1.2","92","1.0","13","0.1","15","0.2","-85.9","15.4"
". Pièce indépendante louée ou prêtée","","-","","1 889","15.4","2 462","20.9","1 660","16.2","1 236","12.9","522","5.8","322","3.7","-57.8","-38.3"
". Construction provisoire,hab. de fortune","","-","","7","0.1","28","0.2","5","0.0","4","0.0","3","0.0","3","0.0","-25.0","0.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","2 332","19.0","2 545","21.6","2 710","26.5","2 676","28.0","2 894","32.4","3 117","35.5","8.1","7.7"
". Locataire","","-","","7 700","62.8","6 935","59.0","5 760","56.3","5 268","55.1","4 643","51.9","4 542","51.7","-11.9","-2.2"
"d'un local loué vide HLM","","-","","-","","-","","-","","64","0.7","12","0.1","144","1.6","-81.3","1100.0"
"d'un local loué vide non HLM","","-","","-","","-","","-","","4 564","47.7","4 181","46.8","3 832","43.6","-8.4","-8.3"
"d'un local loué meublé","","-","","-","","-","","-","","640","6.7","450","5.0","566","6.4","-29.7","25.8"
". Logé gratuitement","","-","","2 229","18.2","2 276","19.4","1 765","17.2","1 620","16.9","1 404","15.7","1 121","12.8","-13.3","-20.2"
