"ROCHECHOUART","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","16 658","","100.0","15 815","100.0","14 705","100.0","13 895","100.0","13 688","100.0","11 841","100.0","12 230","100.0","-13.5","3.3"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","5 167","31.0","5 237","33.1","4 571","31.1","4 180","30.1","3 996","29.2","2 966","25.0","3 076","25.2","-25.8","3.7"
". 2 pièces","","4 381","26.3","4 550","28.8","4 218","28.7","3 805","27.4","3 980","29.1","3 383","28.6","3 589","29.3","-15.0","6.1"
". 3 pièces","","6 144","36.9","3 172","20.1","3 107","21.1","3 115","22.4","2 956","21.6","2 822","23.8","2 745","22.4","-4.5","-2.7"
". 4 pièces","","0","","1 540","9.7","1 478","10.1","1 525","11.0","1 480","10.8","1 534","13.0","1 573","12.9","3.6","2.5"
". 5 pièces et plus","","","","1 316","8.3","1 331","9.1","1 270","9.1","1 276","9.3","1 136","9.6","1 247","10.2","-11.0","9.8"
". Non déterminée","","966","5.8","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","13 637","86.2","12 802","87.1","12 450","89.6","12 788","93.4","11 398","96.3","11 857","97.0","-10.9","4.0"
". Chambre d'hôtel meublé","","-","","1 065","6.7","547","3.7","380","2.7","180","1.3","61","0.5","67","0.5","-66.1","9.8"
". Pièce indépendante louée ou prêtée","","-","","1 080","6.8","1 296","8.8","1 065","7.7","704","5.1","379","3.2","304","2.5","-46.2","-19.8"
". Construction provisoire,hab. de fortune","","-","","33","0.2","60","0.4","0","","8","0.1","3","0.0","2","0.0","-62.5","-33.3"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","3 940","24.9","4 013","27.3","4 470","32.2","4 352","31.8","4 429","37.4","4 682","38.3","1.8","5.7"
". Locataire","","-","","10 508","66.4","9 162","62.3","7 960","57.3","8 088","59.1","6 261","52.9","6 551","53.6","-22.6","4.6"
"d'un local loué vide HLM","","-","","-","","-","","-","","84","0.6","68","0.6","248","2.0","-19.0","264.7"
"d'un local loué vide non HLM","","-","","-","","-","","-","","7 184","52.5","5 721","48.3","5 621","46.0","-20.4","-1.7"
"d'un local loué meublé","","-","","-","","-","","-","","820","6.0","472","4.0","682","5.6","-42.4","44.5"
". Logé gratuitement","","-","","1 367","8.6","1 530","10.4","1 465","10.5","1 248","9.1","1 151","9.7","997","8.2","-7.8","-13.4"
