"Quartier 39","1954","","1962","","1968","","1975","","1982","","1990","","1999","","","évolution en %"
"PORTE SAINT MARTIN","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"POPULATION TOTALE","35 415","100.0","34 354","100.0","30 854","100.0","24 825","100.0","22 844","100.0","23 298","100.0","23 125","100.0","2.0","-0.7"
"POPULATION PAR SEXE","","","","","","","","","","","","","","","",""
". Hommes","15 940","45.0","15 905","46.3","14 259","46.2","11 745","47.3","11 384","49.8","11 509","49.4","11 635","50.3","1.1","1.1"
". Femmes","19 475","55.0","18 449","53.7","16 595","53.8","13 080","52.7","11 460","50.2","11 789","50.6","11 490","49.7","2.9","-2.5"
"ACTIVITÉ","","","","","","","","","","","","","","","",""
". Actifs hommes","11 390","32.3","10 611","30.9","9 126","29.6","7 170","28.9","6 972","30.4","7 106","30.5","7 243","36.1","1.9","1.9"
". Actifs femmes","9 382","26.6","8 788","25.6","7 760","25.2","6 045","24.4","5 208","22.7","6 012","25.8","6 178","30.8","15.4","2.8"
". Actifs total","20 772","59.0","19 399","56.5","16 886","54.7","13 215","53.2","12 180","53.2","13 118","56.3","13 421","66.9","7.7","2.3"
". Inactifs hommes","4 379","12.4","5 294","15.4","5 133","16.6","4 575","18.4","4 472","19.5","4 403","18.9","2 811","14.0","-1.5","-36.2"
". Inactifs femmes","10 080","28.6","9 661","28.1","8 835","28.6","7 035","28.3","6 252","27.3","5 777","24.8","3 824","19.1","-7.6","-33.8"
". Inactifs total","14 459","41.0","14 955","43.5","13 968","45.3","11 610","46.8","10 724","46.8","10 180","43.7","6 635","33.1","-5.1","-34.8"
"NATIONALITÉ","","","","","","","","","","","","","","","",""
". Français","33 580","94.8","31 699","92.3","27 649","89.6","20 885","84.1","17 856","78.2","18 090","77.6","18 240","78.9","1.3","0.8"
". Étrangers","1 835","5.2","2 655","7.7","3 205","10.4","3 940","15.9","4 988","21.8","5 208","22.4","4 885","21.1","4.4","-6.2"
"TRANCHES D'ÂGE","","","","","","","","","","","","","","","",""
".  0 à 4  ans","1 914","5.4","1 566","4.6","1 522","4.9","1 070","4.3","912","4.0","1 286","5.5","1 113","4.8","41.0","-13.5"
".  5 à 14 ans","3 370","9.5","3 348","9.7","2 632","8.5","2 250","9.1","1 784","7.8","2 106","9.0","1 956","8.5","18.0","-7.1"
". 15 à 24 ans","3 938","11.1","4 347","12.7","4 732","15.3","3 530","14.2","3 304","14.5","3 017","12.9","2 796","12.1","-8.7","-7.3"
". 25 à 34 ans","5 970","16.9","5 541","16.1","4 705","15.2","4 295","17.3","4 624","20.2","5 266","22.6","5 628","24.3","13.9","6.9"
". 35 à 64 ans","15 976","45.1","14 861","43.3","12 295","39.8","8 840","35.6","8 360","36.6","8 587","36.9","8 997","38.9","2.7","4.8"
". 65 à 74 ans","2 918","8.2","3 068","8.9","3 233","10.5","2 905","11.7","1 964","8.6","1 415","6.1","1 341","5.8","-28.0","-5.2"
". 75 ans et plus","1 145","3.2","1 623","4.7","1 735","5.6","1 935","7.8","1 896","8.3","1 621","7.0","1 294","5.6","-14.5","-20.2"
