"Quartier 43","1982","","1990","","1999","","","évolution en %"
"ROQUETTE","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","1 644","3.5","1 648","3.4","1 364","2.9","0.2","-17.2"
"Cadres, professions intellectuelles supérieures","3 252","7.0","6 332","13.1","8 660","18.2","94.7","36.8"
"Professions intermédiaires","5 020","10.8","5 952","12.4","7 084","14.9","18.6","19.0"
"Employés","8 384","18.1","7 052","14.6","6 256","13.2","-15.9","-11.3"
"Ouvriers","5 764","12.4","4 880","10.1","3 248","6.8","-15.3","-33.4"
"Autres actifs (1)","392","0.8","425","0.9","408","0.9","8.4","-4.0"
"ACTIFS","24 456","52.7","26 289","54.6","27 020","56.8","7.5","2.8"
"Enfants  de moins de 15 ans","6 424","13.9","6 608","13.7","6 064","12.8","2.9","-8.2"
"Retraités","7 840","16.9","7 608","15.8","6 948","14.6","-3.0","-8.7"
"Autres sans activité professionnelle","7 644","16.5","7 675","15.9","7 516","15.8","0.4","-2.1"
"INACTIFS","21 908","47.3","21 891","45.4","20 528","43.2","-0.1","-6.2"
"TOTAL","46 364","100.0","48 180","100.0","47 548","100.0","3.9","-1.3"
