"BEL AIR","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","14 516","","100.0","15 813","100.0","16 397","100.0","17 700","100.0","18 540","100.0","18 144","100.0","18 585","100.0","-2.1","2.4"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","3 896","","26.8","3 995","25.3","3 945","24.1","4 240","24.0","4 344","23.4","3 695","20.4","3 596","19.3","-14.9","-2.7"
". 2 pièces","5 450","","37.5","5 668","35.8","5 725","34.9","6 040","34.1","6 308","34.0","6 311","34.8","6 483","34.9","0.0","2.7"
". 3 pièces","","4 905","33.8","3 891","24.6","4 191","25.6","4 460","25.2","4 868","26.3","4 682","25.8","4 753","25.6","-3.8","1.5"
". 4 pièces","","0","","1 650","10.4","1 827","11.1","1 985","11.2","2 216","12.0","2 471","13.6","2 636","14.2","11.5","6.7"
". 5 pièces et plus","","","","609","3.9","709","4.3","975","5.5","804","4.3","985","5.4","1 117","6.0","22.5","13.4"
". Non déterminée","","265","1.8","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","14 341","90.7","15 423","94.1","17 150","96.9","17 820","96.1","17 873","98.5","18 406","99.0","0.3","3.0"
". Chambre d'hôtel meublé","","-","","720","4.6","453","2.8","230","1.3","196","1.1","56","0.3","26","0.1","-71.4","-53.6"
". Pièce indépendante louée ou prêtée","","-","","730","4.6","513","3.1","315","1.8","404","2.2","212","1.2","150","0.8","-47.5","-29.2"
". Construction provisoire,hab. de fortune","","-","","22","0.1","8","0.0","5","0.0","8","0.0","3","0.0","3","0.0","-62.5","0.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","2 651","16.8","3 248","19.8","4 065","23.0","4 552","24.6","4 747","26.2","5 281","28.4","4.3","11.2"
". Locataire","","-","","12 064","76.3","11 888","72.5","12 430","70.2","12 668","68.3","12 185","67.2","12 284","66.1","-3.8","0.8"
"d'un local loué vide HLM","","-","","-","","-","","-","","3 156","17.0","3 011","16.6","5 005","26.9","-4.6","66.2"
"d'un local loué vide non HLM","","-","","-","","-","","-","","9 104","49.1","8 802","48.5","6 810","36.6","-3.3","-22.6"
"d'un local loué meublé","","-","","-","","-","","-","","408","2.2","372","2.1","469","2.5","-8.8","26.1"
". Logé gratuitement","","-","","1 098","6.9","1 261","7.7","1 205","6.8","1 320","7.1","1 212","6.7","1 020","5.5","-8.2","-15.8"
