"13ème   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","8 142","4.9","6 484","3.9","5 330","3.4","4 360","2.7","3 480","2.0","-20.2"
"Professions libérales et cadres supérieurs","4 446","2.7","5 897","3.5","7 563","4.8","14 125","8.6","15 980","9.4","13.1"
"Cadres moyens","10 034","6.1","11 576","6.9","13 138","8.3","16 235","9.9","16 680","9.8","2.7"
"Employés","20 448","12.4","21 171","12.6","19 665","12.4","21 960","13.4","24 540","14.4","11.7"
"Ouvriers","37 229","22.6","33 295","19.9","26 064","16.4","20 270","12.4","18 360","10.8","-9.4"
"Personnel de service","8 249","5.0","8 045","4.8","7 556","4.8","7 025","4.3","7 220","4.2","2.8"
"Autres actifs (2)","2 208","1.3","2 376","1.4","2 056","1.3","2 340","1.4","2 580","1.5","10.3"
"ACTIFS","90 756","55.1","88 844","53.0","81 372","51.3","86 315","52.7","88 840","52.1","2.9"
"Enfants de moins de 15 ans","29 833","18.1","29 751","17.7","24 926","15.7","25 075","15.3","26 588","15.6","6.0"
"Retraités","11 504","7.0","14 015","8.4","17 414","11.0","20 365","12.4","21 856","12.8","7.3"
"Autres sans activité professionnelle","32 488","19.7","35 037","20.9","34 812","22.0","31 980","19.5","33 156","19.5","3.7"
"INACTIFS","73 825","44.9","78 803","47.0","77 152","48.7","77 420","47.3","81 600","47.9","5.4"
"TOTAL","164 581","100.0","167 647","100.0","158 524","100.0","163 735","100.0","170 440","100.0","4.1"
