"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","",""
"Total :","65 264","100.0","66 636","100.0","65 571","100.0","73 075","100.0","78 796","100.0","80 854","100.0","84 564","100.0","2.6","4.6"
"TAILLE","","","","","","","","","","","","","","","",""
". 1 pièce","20 393","31.2","21 029","31.6","18 741","28.6","18 040","24.7","18 208","23.1","17 447","21.6","18 031","21.3","-4.2","3.3"
". 2 pièces","25 971","39.8","26 122","39.2","24 334","37.1","25 600","35.0","26 248","33.3","26 043","32.2","26 514","31.4","-0.8","1.8"
". 3 pièces","12 669","19.4","14 394","21.6","15 688","23.9","18 855","25.8","21 408","27.2","22 241","27.5","22 750","26.9","3.9","2.3"
". 4 pièces","4 129","6.3","3 646","5.5","4 738","7.2","7 215","9.9","9 028","11.5","10 487","13.0","11 788","13.9","16.2","12.4"
". 5 pièces et plus","","","1 445","2.2","2 070","3.2","3 365","4.6","3 904","5.0","4 636","5.7","5 481","6.5","18.8","18.2"
". Non déterminée","2 102","3.2","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","",""
". Logement ordinaire","-","","60 739","91.2","60 423","92.1","69 870","95.6","76 792","97.5","79 307","98.1","83 314","98.5","3.3","5.1"
". Chambre d'hôtel meublé","-","","5 272","7.9","3 942","6.0","2 290","3.1","1 328","1.7","708","0.9","408","0.5","-46.7","-42.4"
". Pièce indépendante louée ou prêtée","-","","421","0.6","924","1.4","890","1.2","380","0.5","822","1.0","815","1.0","116.3","-0.9"
". Construction provisoire,hab. de fortune","-","","204","0.3","282","0.4","25","0.0","20","0.0","17","0.0","27","0.0","-15.0","58.8"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","",""
". Propriétaire","4 836","7.4","10 310","15.5","11 896","18.1","14 265","19.5","15 140","19.2","17 949","22.2","19 375","22.9","18.6","7.9"
". Locataire","60 428","92.6","51 294","77.0","48 088","73.3","53 310","73.0","57 120","72.5","57 598","71.2","60 338","71.4","0.8","4.8"
"d'un local loué vide HLM","-","","-","","-","","-","","20 960","26.6","23 388","28.9","30 583","36.2","11.6","30.8"
"d'un local loué vide non HLM","-","","-","","-","","-","","33 652","42.7","32 240","39.9","26 305","31.1","-4.2","-18.4"
"d'un local loué meublé","-","","-","","-","","-","","2 508","3.2","1 970","2.4","3 450","4.1","-21.5","75.1"
". Logé gratuitement","-","","5 032","7.6","5 587","8.5","5 500","7.5","6 536","8.3","5 307","6.6","4 851","5.7","-18.8","-8.6"
