"GARE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","21 135","","100.0","21 822","100.0","19 539","100.0","24 620","100.0","28 652","100.0","30 311","100.0","32 111","100.0","5.8","5.9"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","6 593","","31.2","7 110","32.6","5 287","27.1","5 890","23.9","6 280","21.9","6 395","21.1","6 950","21.6","1.8","8.7"
". 2 pièces","","9 106","43.1","9 117","41.8","7 939","40.6","8 705","35.4","9 600","33.5","9 446","31.2","9 380","29.2","-1.6","-0.7"
". 3 pièces","","4 742","22.4","4 238","19.4","4 610","23.6","6 710","27.3","8 304","29.0","8 780","29.0","9 043","28.2","5.7","3.0"
". 4 pièces","","0","","1 037","4.8","1 249","6.4","2 375","9.6","3 148","11.0","4 040","13.3","4 763","14.8","28.3","17.9"
". 5 pièces et plus","","","","320","1.5","454","2.3","940","3.8","1 320","4.6","1 650","5.4","1 975","6.2","25.0","19.7"
". Non déterminée","","694","3.3","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","19 649","90.0","18 081","92.5","23 675","96.2","28 036","97.9","29 935","98.8","31 749","98.9","6.8","6.1"
". Chambre d'hôtel meublé","","-","","2 094","9.6","1 156","5.9","715","2.9","364","1.3","143","0.5","99","0.3","-60.7","-30.8"
". Pièce indépendante louée ou prêtée","","-","","68","0.3","170","0.9","220","0.9","64","0.2","228","0.8","260","0.8","256.3","14.0"
". Construction provisoire,hab. de fortune","","-","","11","0.1","132","0.7","10","0.0","4","0.0","5","0.0","3","0.0","25.0","-40.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","2 646","12.1","2 794","14.3","3 210","13.0","3 676","12.8","4 809","15.9","5 175","16.1","30.8","7.6"
". Locataire","","-","","17 348","79.5","15 110","77.3","19 645","79.8","22 836","79.7","24 142","79.6","25 701","80.0","5.7","6.5"
"d'un local loué vide HLM","","-","","-","","-","","-","","9 428","32.9","12 394","40.9","16 164","50.3","31.5","30.4"
"d'un local loué vide non HLM","","-","","-","","-","","-","","12 724","44.4","11 228","37.0","8 131","25.3","-11.8","-27.6"
"d'un local loué meublé","","-","","-","","-","","-","","684","2.4","520","1.7","1 406","4.4","-24.0","170.4"
". Logé gratuitement","","-","","1 828","8.4","1 635","8.4","1 765","7.2","2 140","7.5","1 360","4.5","1 235","3.8","-36.4","-9.2"
