"Quartier 52","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"CROULEBARBE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 066","5.0","865","3.9","723","3.3","510","2.5","480","2.6","-5.9"
"Professions libérales et cadres supérieurs","969","4.6","1 229","5.5","1 666","7.6","2 460","12.0","2 720","14.5","10.6"
"Cadres moyens","1 559","7.3","1 824","8.2","2 034","9.2","1 960","9.6","1 840","9.8","-6.1"
"Employés","2 687","12.7","2 884","12.9","2 481","11.3","2 105","10.3","2 040","10.9","-3.1"
"Ouvriers","3 821","18.0","3 461","15.5","2 635","12.0","1 980","9.7","1 000","5.3","-49.5"
"Personnel de service","1 233","5.8","1 112","5.0","1 086","4.9","850","4.2","580","3.1","-31.8"
"Autres actifs (2)","427","2.0","602","2.7","540","2.4","810","4.0","700","3.7","-13.6"
"ACTIFS","11 762","55.4","11 977","53.6","11 165","50.6","10 675","52.3","9 360","50.0","-12.3"
"Enfants de moins de 15 ans","3 410","16.1","3 346","15.0","3 059","13.9","2 135","10.5","2 336","12.5","9.4"
"Retraités","1 598","7.5","2 186","9.8","2 550","11.6","3 140","15.4","3 148","16.8","0.3"
"Autres sans activité professionnelle","4 455","21.0","4 851","21.7","5 275","23.9","4 465","21.9","3 876","20.7","-13.2"
"INACTIFS","9 463","44.6","10 383","46.4","10 884","49.4","9 740","47.7","9 360","50.0","-3.9"
"TOTAL","21 225","100.0","22 360","100.0","22 049","100.0","20 415","100.0","18 720","100.0","-8.3"
