"Quartier 57","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"SAINT LAMBERT","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","37 723","100.0","42 019","100.0","43 494","100.0","48 200","100.0","51 328","100.0","52 623","100.0","53 618","100.0","2.5","1.9"
"Résidences principales","-","","40 480","96.3","40 846","93.9","44 220","91.7","45 640","88.9","45 335","86.2","46 010","85.8","-0.7","1.5"
"Logements vacants (1)","-","","777","1.8","1 655","3.8","2 440","5.1","3 840","7.5","3 952","7.5","4 620","8.6","2.9","16.9"
"Résidences secondaires","-","","762","1.8","993","2.3","1 540","3.2","1 848","3.6","838","1.6","1 269","2.4","-54.7","51.4"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","2 498","4.7","1 719","3.2","","-31.2"
"Autres","-","","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","-","","40 480","100.0","40 846","100.0","44 220","100.0","45 640","100.0","45 335","100.0","46 010","100.0","-0.7","1.5"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","0","","19 839","49.0","17 667","43.3","13 800","31.2","13 628","29.9","11 672","25.7","11 299","24.6","-14.4","-3.2"
". 1915 à 1948","0","","15 923","39.3","16 566","40.6","15 085","34.1","14 072","30.8","14 271","31.5","13 565","29.5","1.4","-4.9"
". 1949 à 1981","0","","4 718","11.7","6 613","16.2","15 335","34.7","17 940","39.3","18 239","40.2","18 518","40.2","1.7","1.5"
". 1982 à 1989","-","","-","","-","","-","","-","","1 153","2.5","798","1.7","","-30.8"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","1 830","4.0","",""
". Non déterminée","0","","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","3 456","7.6","2 050","4.5","910","2.0","-40.7","-55.6"
". sans WC ou sans douche","-","","-","","-","","-","","5 260","11.5","3 258","7.2","2 218","4.8","-38.1","-31.9"
"Total sans confort","-","","-","","-","","-","","8 716","19.1","5 308","11.7","3 128","6.8","-39.1","-41.1"
". WC et douche, sans chauffage central","-","","-","","-","","-","","5 672","12.4","4 211","9.3","1 673","3.6","-25.8","-60.3"
". WC et douche, avec chauffage central","-","","-","","-","","-","","31 252","68.5","35 816","79.0","41 209","89.6","14.6","15.1"
"Total confort","-","","-","","-","","-","","36 924","80.9","40 027","88.3","42 882","93.2","8.4","7.1"
"Avec WC intérieurs","23 975","","27 440","67.8","29 083","71.2","37 060","83.8","39 776","87.2","41 711","92.0","43 560","94.7","4.9","4.4"
"Avec baignoire ou douche","10 538","","18 139","44.8","22 906","56.1","33 700","76.2","39 336","86.2","41 601","91.8","44 422","96.5","5.8","6.8"
