"PLAINE MONCEAU","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","21 382","","100.0","21 628","100.0","20 476","100.0","20 870","100.0","20 224","100.0","18 722","100.0","18 944","100.0","-7.4","1.2"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","5 921","","27.7","6 534","30.2","5 856","28.6","5 905","28.3","4 928","24.4","3 951","21.1","3 845","20.3","-19.8","-2.7"
". 2 pièces","4 753","","22.2","4 830","22.3","4 523","22.1","4 825","23.1","4 672","23.1","4 544","24.3","4 651","24.6","-2.7","2.4"
". 3 pièces","10 002","","46.8","2 836","13.1","2 818","13.8","2 870","13.8","3 196","15.8","3 171","16.9","3 186","16.8","-0.8","0.5"
". 4 pièces","","0","","2 399","11.1","2 261","11.0","2 535","12.1","3 008","14.9","2 901","15.5","2 883","15.2","-3.6","-0.6"
". 5 pièces et plus","","","","5 029","23.3","5 018","24.5","4 735","22.7","4 420","21.9","4 155","22.2","4 379","23.1","-6.0","5.4"
". Non déterminée","","706","3.3","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","17 655","81.6","17 135","83.7","17 400","83.4","17 728","87.7","18 000","96.1","18 476","97.5","1.5","2.6"
". Chambre d'hôtel meublé","","-","","668","3.1","373","1.8","200","1.0","132","0.7","20","0.1","15","0.1","-84.8","-25.0"
". Pièce indépendante louée ou prêtée","","-","","3 240","15.0","2 920","14.3","3 250","15.6","2 356","11.6","697","3.7","449","2.4","-70.4","-35.6"
". Construction provisoire,hab. de fortune","","-","","65","0.3","48","0.2","20","0.1","8","0.0","5","0.0","4","0.0","-37.5","-20.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","3 832","17.7","4 190","20.5","4 810","23.0","4 912","24.3","5 368","28.7","5 909","31.2","9.3","10.1"
". Locataire","","-","","15 112","69.9","13 603","66.4","13 275","63.6","12 764","63.1","11 448","61.1","11 335","59.8","-10.3","-1.0"
"d'un local loué vide HLM","","-","","-","","-","","-","","2 684","13.3","1 882","10.1","2 937","15.5","-29.9","56.1"
"d'un local loué vide non HLM","","-","","-","","-","","-","","8 992","44.5","8 896","47.5","7 606","40.1","-1.1","-14.5"
"d'un local loué meublé","","-","","-","","-","","-","","1 088","5.4","670","3.6","792","4.2","-38.4","18.2"
". Logé gratuitement","","-","","2 684","12.4","2 683","13.1","2 785","13.3","2 548","12.6","1 906","10.2","1 700","9.0","-25.2","-10.8"
