"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","",""
"Total :","118 050","100.0","116 565","100.0","111 936","100.0","106 115","100.0","98 680","100.0","99 049","100.0","99 689","100.0","0.4","0.6"
"TAILLE","","","","","","","","","","","","","","","",""
". 1 pièce","38 502","32.6","39 712","34.1","35 962","32.1","31 110","29.3","26 684","27.0","25 348","25.6","24 896","25.0","-5.0","-1.8"
". 2 pièces","46 945","39.8","47 559","40.8","45 624","40.8","43 005","40.5","39 828","40.4","40 286","40.7","39 474","39.6","1.1","-2.0"
". 3 pièces","21 102","17.9","22 830","19.6","23 382","20.9","24 055","22.7","23 248","23.6","23 443","23.7","23 726","23.8","0.8","1.2"
". 4 pièces","6 255","5.3","4 787","4.1","5 067","4.5","5 870","5.5","6 560","6.6","7 305","7.4","8 290","8.3","11.4","13.5"
". 5 pièces et plus","","","1 677","1.4","1 901","1.7","2 075","2.0","2 360","2.4","2 667","2.7","3 303","3.3","13.0","23.8"
". Non déterminée","5 246","4.4","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","",""
". Logement ordinaire","-","","101 308","86.9","99 317","88.7","97 475","91.9","93 060","94.3","94 600","95.5","96 216","96.5","1.7","1.7"
". Chambre d'hôtel meublé","-","","12 441","10.7","10 110","9.0","6 700","6.3","4 568","4.6","2 744","2.8","2 035","2.0","-39.9","-25.8"
". Pièce indépendante louée ou prêtée","-","","2 532","2.2","2 339","2.1","1 895","1.8","892","0.9","1 668","1.7","1 399","1.4","87.0","-16.1"
". Construction provisoire,hab. de fortune","-","","284","0.2","170","0.2","45","0.0","28","0.0","37","0.0","39","0.0","32.1","5.4"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","",""
". Propriétaire","10 475","8.9","23 556","20.2","26 821","24.0","27 455","25.9","26 904","27.3","29 784","30.1","30 395","30.5","10.7","2.1"
". Locataire","107 575","91.1","85 105","73.0","76 990","68.8","70 910","66.8","64 884","65.8","62 829","63.4","63 746","63.9","-3.2","1.5"
"d'un local loué vide HLM","-","","-","","-","","-","","8 888","9.0","10 711","10.8","15 340","15.4","20.5","43.2"
"d'un local loué vide non HLM","-","","-","","-","","-","","49 308","50.0","47 358","47.8","43 074","43.2","-4.0","-9.0"
"d'un local loué meublé","-","","-","","-","","-","","6 688","6.8","4 760","4.8","5 332","5.3","-28.8","12.0"
". Logé gratuitement","-","","7 904","6.8","8 125","7.3","7 750","7.3","6 892","7.0","6 436","6.5","5 548","5.6","-6.6","-13.8"
