"Quartier 71","1982","","1990","","1999","","","évolution en %"
"GOUTTE D'OR","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","896","3.1","828","2.9","784","2.8","-7.6","-5.3"
"Cadres, professions intellectuelles supérieures","1 068","3.7","2 108","7.5","2 348","8.2","97.4","11.4"
"Professions intermédiaires","2 064","7.2","2 764","9.8","2 988","10.5","33.9","8.1"
"Employés","5 216","18.1","4 460","15.9","4 544","16.0","-14.5","1.9"
"Ouvriers","5 488","19.0","4 604","16.4","3 696","13.0","-16.1","-19.7"
"Autres actifs (1)","224","0.8","292","1.0","455","1.6","30.4","55.8"
"ACTIFS","14 956","51.9","15 056","53.6","14 815","52.0","0.7","-1.6"
"Enfants  de moins de 15 ans","4 752","16.5","5 300","18.9","5 373","18.9","11.5","1.4"
"Retraités","3 780","13.1","3 408","12.1","3 308","11.6","-9.8","-2.9"
"Autres sans activité professionnelle","5 336","18.5","4 320","15.4","4 986","17.5","-19.0","15.4"
"INACTIFS","13 868","48.1","13 028","46.4","13 667","48.0","-6.1","4.9"
"TOTAL","28 824","100.0","28 084","100.0","28 482","100.0","-2.6","1.4"
