"LA   CHAPELLE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","10 269","","100.0","9 701","100.0","9 473","100.0","9 425","100.0","9 228","100.0","10 139","100.0","10 855","100.0","9.9","7.1"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","3 174","","30.9","3 314","34.2","3 159","33.3","2 780","29.5","2 380","25.8","2 395","23.6","2 556","23.5","0.6","6.7"
". 2 pièces","4 541","","44.2","4 327","44.6","4 135","43.7","3 900","41.4","3 780","41.0","4 107","40.5","4 057","37.4","8.7","-1.2"
". 3 pièces","","2 068","20.1","1 765","18.2","1 796","19.0","2 090","22.2","2 112","22.9","2 526","24.9","2 741","25.3","19.6","8.5"
". 4 pièces","","0","","249","2.6","311","3.3","530","5.6","752","8.1","862","8.5","1 121","10.3","14.6","30.0"
". 5 pièces et plus","","","","46","0.5","72","0.8","125","1.3","204","2.2","249","2.5","380","3.5","22.1","52.6"
". Non déterminée","","486","4.7","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","8 502","87.6","8 222","86.8","8 385","89.0","8 640","93.6","9 623","94.9","10 429","96.1","11.4","8.4"
". Chambre d'hôtel meublé","","-","","1 105","11.4","1 081","11.4","950","10.1","532","5.8","384","3.8","326","3.0","-27.8","-15.1"
". Pièce indépendante louée ou prêtée","","-","","80","0.8","124","1.3","85","0.9","48","0.5","129","1.3","95","0.9","168.8","-26.4"
". Construction provisoire,hab. de fortune","","-","","14","0.1","46","0.5","5","0.1","4","0.0","3","0.0","5","0.0","-25.0","66.7"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","1 777","18.3","2 068","21.8","2 130","22.6","2 132","23.1","2 538","25.0","2 440","22.5","19.0","-3.9"
". Locataire","","-","","7 314","75.4","6 842","72.2","6 770","71.8","6 668","72.3","7 126","70.3","8 015","73.8","6.9","12.5"
"d'un local loué vide HLM","","-","","-","","-","","-","","1 792","19.4","2 323","22.9","3 524","32.5","29.6","51.7"
"d'un local loué vide non HLM","","-","","-","","-","","-","","4 196","45.5","4 273","42.1","3 817","35.2","1.8","-10.7"
"d'un local loué meublé","","-","","-","","-","","-","","680","7.4","530","5.2","674","6.2","-22.1","27.2"
". Logé gratuitement","","-","","610","6.3","563","5.9","525","5.6","428","4.6","475","4.7","400","3.7","11.0","-15.8"
