"19ème   arrondissement","","1968","","1975","","1982","","1990","","","1999","","évolution en %"
"","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","","%","1982-1990
1990-1999"
"SECTEUR PRIMAIRE (1)","","52","0.1","60","0.1","4","0.0","12","0.0","","57","0.1","200.0
375.0"
"SECTEUR SECONDAIRE (2)","32 380","","42.0","25 270","34.0","15 544","23.5","13 070","19.2","7 616","","11.2","-15.9
-41.7"
"dont
Industrie","24 712","","32.0","18 165","24.4","10 856","16.4","9 326","13.7","","-","","-14.1"
". Industrie agro-alimentaire","","-","","3 160","4.2","1 348","2.0","964","1.4","","-","","-28.5"
". Production et distribution d'énergie","","-","","400","0.5","544","0.8","628","0.9","","-","","15.4"
". Industrie des biens intermédiaires","","-","","3 635","4.9","1 528","2.3","1 032","1.5","","-","","-32.5"
". Industrie des biens d'équipements","","-","","4 420","5.9","2 656","4.0","2 344","3.4","","-","","-11.7"
". Industries des biens de consommations courantes","","-","","6 550","8.8","4 780","7.2","4 358","6.4","","-","","-8.8"
"Bâtiment et génie civil","","7 668","9.9","7 105","9.6","4 688","7.1","3 744","5.5","","-","","-20.1"
