"PALAIS ROYAL","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","3 279","100.0","3 091","100.0","2 801","100.0","2 455","100.0","2 112","100.0","1 782","100.0","1 849","100.0","-15.6","3.8"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","1 189","36.3","1 268","41.0","1 111","39.7","920","37.5","648","30.7","474","26.6","555","30.0","-26.9","17.1"
". 2 pièces","","973","29.7","909","29.4","833","29.7","735","29.9","680","32.2","560","31.4","566","30.6","-17.6","1.1"
". 3 pièces","","980","29.9","444","14.4","402","14.4","445","18.1","348","16.5","353","19.8","323","17.5","1.4","-8.5"
". 4 pièces","","0","","231","7.5","213","7.6","160","6.5","236","11.2","216","12.1","207","11.2","-8.5","-4.2"
". 5 pièces et plus","","","","239","7.7","242","8.6","195","7.9","200","9.5","179","10.0","198","10.7","-10.5","10.6"
". Non déterminée","","137","4.2","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","2 530","81.9","2 312","82.5","2 055","83.7","2 028","96.0","1 704","95.6","1 793","97.0","-16.0","5.2"
". Chambre d'hôtel meublé","","-","","134","4.3","95","3.4","40","1.6","12","0.6","4","0.2","3","0.2","-66.7","-25.0"
". Pièce indépendante louée ou prêtée","","-","","424","13.7","391","14.0","340","13.8","72","3.4","74","4.2","53","2.9","2.8","-28.4"
". Construction provisoire,hab. de fortune","","-","","3","0.1","3","0.1","20","0.8","0","","0","","0","","",""
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","444","14.4","401","14.3","445","18.1","500","23.7","483","27.1","552","29.9","-3.4","14.3"
". Locataire","","-","","2 162","69.9","1 849","66.0","1 515","61.7","1 192","56.4","996","55.9","1 056","57.1","-16.4","6.0"
"d'un local loué vide HLM","","-","","-","","-","","-","","40","1.9","4","0.2","55","3.0","-90.0","1275.0"
"d'un local loué vide non HLM","","-","","-","","-","","-","","1 072","50.8","942","52.9","900","48.7","-12.1","-4.5"
"d'un local loué meublé","","-","","-","","-","","-","","80","3.8","50","2.8","101","5.5","-37.5","102.0"
". Logé gratuitement","","-","","485","15.7","551","19.7","495","20.2","420","19.9","303","17.0","241","13.0","-27.9","-20.5"
