"Quartier 4","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"PLACE VENDOME","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","3 347","100.0","3 149","100.0","3 051","100.0","2 370","100.0","2 132","100.0","2 452","100.0","2 357","100.0","15.0","-3.9"
"Résidences principales","-","","3 058","97.1","2 822","92.5","2 160","91.1","1 780","83.5","1 731","70.6","1 723","73.1","-2.8","-0.5"
"Logements vacants (1)","-","","34","1.1","49","1.6","90","3.8","216","10.1","509","20.8","402","17.1","135.6","-21.0"
"Résidences secondaires","-","","57","1.8","180","5.9","120","5.1","136","6.4","40","1.6","106","4.5","-70.6","165.0"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","172","7.0","126","5.3","","-26.7"
"Autres","-","","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","-","","3 058","100.0","2 822","100.0","2 160","100.0","1 780","100.0","1 731","100.0","1 723","100.0","-2.8","-0.5"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","0","","3 044","99.5","2 812","99.6","2 135","98.8","1 672","93.9","1 672","96.6","1 631","94.7","0.0","-2.5"
". 1915 à 1948","0","","6","0.2","10","0.4","15","0.7","100","5.6","12","0.7","36","2.1","-88.0","200.0"
". 1949 à 1981","0","","8","0.3","0","0.0","10","0.5","8","0.4","18","1.0","1","0.1","125.0","-94.4"
". 1982 à 1989","-","","-","","-","","-","","-","","29","1.7","36","2.1","","24.1"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","19","1.1","",""
". Non déterminée","0","","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","312","17.5","161","9.3","67","3.9","-48.4","-58.4"
". sans WC ou sans douche","-","","-","","-","","-","","292","16.4","213","12.3","152","8.8","-27.1","-28.6"
"Total sans confort","-","","-","","-","","-","","604","33.9","374","21.6","219","12.7","-38.1","-41.4"
". WC et douche, sans chauffage central","-","","-","","-","","-","","400","22.5","298","17.2","121","7.0","-25.5","-59.4"
". WC et douche, avec chauffage central","-","","-","","-","","-","","776","43.6","1 059","61.2","1 383","80.3","36.5","30.6"
"Total confort","-","","-","","-","","-","","1 176","66.1","1 357","78.4","1 504","87.3","15.4","10.8"
"Avec WC intérieurs","1 528","","1 424","46.6","1 410","50.0","1 355","62.7","1 276","71.7","1 424","82.3","1 530","88.8","11.6","7.4"
"Avec baignoire ou douche","817","","1 061","34.7","1 337","47.4","1 390","64.4","1 368","76.9","1 503","86.8","1 630","94.6","9.9","8.4"
