"PLACE VENDOME","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","3 347","100.0","3 058","100.0","2 822","100.0","2 160","100.0","1 780","100.0","1 731","100.0","1 723","100.0","-2.8","-0.5"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","1 140","34.1","1 252","40.9","1 080","38.3","640","29.6","456","25.6","445","25.7","427","24.8","-2.4","-4.0"
". 2 pièces","","862","25.8","821","26.8","764","27.1","690","31.9","552","31.0","524","30.3","523","30.4","-5.1","-0.2"
". 3 pièces","","1 039","31.0","482","15.8","475","16.8","360","16.7","328","18.4","341","19.7","349","20.3","4.0","2.3"
". 4 pièces","","0","","230","7.5","232","8.2","215","10.0","192","10.8","227","13.1","190","11.0","18.2","-16.3"
". 5 pièces et plus","","","","273","8.9","271","9.6","255","11.8","252","14.2","194","11.2","234","13.6","-23.0","20.6"
". Non déterminée","","306","9.1","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","2 532","82.8","2 168","76.8","1 970","91.2","1 604","90.1","1 668","96.4","1 669","96.9","4.0","0.1"
". Chambre d'hôtel meublé","","-","","231","7.6","175","6.2","60","2.8","28","1.6","4","0.2","2","0.1","-85.7","-50.0"
". Pièce indépendante louée ou prêtée","","-","","293","9.6","458","16.2","130","6.0","144","8.1","59","3.4","52","3.0","-59.0","-11.9"
". Construction provisoire,hab. de fortune","","-","","2","0.1","21","0.7","0","","0","","0","","0","","",""
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","374","12.2","385","13.6","345","16.0","324","18.2","450","26.0","448","26.0","38.9","-0.4"
". Locataire","","-","","2 154","70.4","1 883","66.7","1 405","65.0","1 144","64.3","1 004","58.0","1 051","61.0","-12.2","4.7"
"d'un local loué vide HLM","","-","","-","","-","","-","","0","","1","0.1","17","1.0","","1600.0"
"d'un local loué vide non HLM","","-","","-","","-","","-","","1 044","58.7","952","55.0","947","55.0","-8.8","-0.5"
"d'un local loué meublé","","-","","-","","-","","-","","100","5.6","51","2.9","87","5.0","-49.0","70.6"
". Logé gratuitement","","-","","530","17.3","554","19.6","410","19.0","312","17.5","277","16.0","224","13.0","-11.2","-19.1"
