"Quartier 6","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"VIVIENNE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","795","11.7","511","8.3","387","7.5","210","5.4","20","0.7","-90.5"
"Professions libérales et cadres supérieurs","230","3.4","231","3.8","253","4.9","175","4.5","280","10.4","60.0"
"Cadres moyens","452","6.6","458","7.4","430","8.4","345","8.8","300","11.1","-13.0"
"Employés","997","14.6","942","15.3","739","14.4","555","14.2","400","14.8","-27.9"
"Ouvriers","925","13.6","793","12.9","690","13.5","545","13.9","280","10.4","-48.6"
"Personnel de service","656","9.6","549","8.9","450","8.8","250","6.4","180","6.7","-28.0"
"Autres actifs (2)","194","2.8","152","2.5","102","2.0","65","1.7","100","3.7","53.8"
"ACTIFS","4 249","62.4","3 636","59.1","3 051","59.5","2 145","54.8","1 560","57.8","-27.3"
"Enfants de moins de 15 ans","951","14.0","805","13.1","639","12.5","480","12.3","344","12.7","-28.3"
"Retraités","384","5.6","499","8.1","463","9.0","540","13.8","488","18.1","-9.6"
"Autres sans activité professionnelle","1 226","18.0","1 211","19.7","976","19.0","750","19.2","308","11.4","-58.9"
"INACTIFS","2 561","37.6","2 515","40.9","2 078","40.5","1 770","45.2","1 140","42.2","-35.6"
"TOTAL","6 810","100.0","6 151","100.0","5 129","100.0","3 915","100.0","2 700","100.0","-31.0"
