"Quartier 6","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"VIVIENNE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","2 972","100.0","2 497","100.0","2 025","100.0","1 756","100.0","1 714","100.0","1 733","100.0","-2.4","1.1"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","1 259","42.4","1 128","45.2","965","47.7","1 016","57.9","934","54.5","1 035","59.7","-8.1","10.8"
". 2 personnes","","-","","901","30.3","737","29.5","580","28.6","388","22.1","436","25.4","404","23.3","12.4","-7.3"
". 3 personnes","","-","","460","15.5","339","13.6","245","12.1","176","10.0","176","10.3","155","8.9","0.0","-11.9"
". 4 personnes","","-","","210","7.1","185","7.4","155","7.7","128","7.3","112","6.5","96","5.5","-12.5","-14.3"
". 5 personnes et plus","","-","","142","4.8","108","4.3","80","4.0","48","2.7","56","3.3","43","2.5","16.7","-23.2"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","2 058","82.4","1 690","83.5","1 492","85.0","1 475","86.1","1 494","86.2","-1.1","1.3"
". 1 enfant","","-","","-","","270","10.8","195","9.6","144","8.2","139","8.1","140","8.1","-3.5","0.7"
". 2 enfants","","-","","-","","126","5.0","100","4.9","96","5.5","74","4.3","75","4.3","-22.9","1.4"
". 3 enfants ou plus","","-","","-","","43","1.7","40","2.0","24","1.4","26","1.5","24","1.4","8.3","-7.7"
