"DEP","COM","VILLE",""
"91","645","VERRIERES
LE","BUISSON"
"91","657","VI ONEUX",""
"91","661","VILLEBON
S","YVETTE"
"91","687","VIR Y
CHAT ILLQN",""
"91","689","WISSOUS",""
"91","691","YERRES",""
"92","002","AMTONY",""
"9 2","004","A S N I E R E S",""
"92","007","BAGNEUX",""
"92","009","BOIS
COLOMBES",""
"92","012","BOULOGNE",""
"92","014","BOURG
LA
REINE",""
"92","019","CHATENAY","MALABRY"
"92","020","CHATILLON",""
"92","022","CHAVILLE",""
"92","023","CLAMART",""
"92","0 24","CLICHY",""
"92","025","COLOMBES",""
"92","026","COURBEVOIE",""
"92","032","FONTENAY
AUX","ROSES"
"92","033","GARCHES",""
"92","035","LA
GARENNE","COLOMBES"
"92","036","GENEVILLIERS",""
"92","040","ISSY
LES","MOULINEAUX"
"92","044","LEVALLOIS","PERRET"
"92","046","MALAKOFF",""
"92","047","MONTFERMEIL",""
"92","048","MEUDON
LA","FORET"
"92","049","MONTROUGE",""
"92","050","NANTERRE",""
"92","051","NEUILLY",""
"92","060","LEPLESSIS","ROBINSON"
"92","0 62","PUTEAUX",""
"92","063","RUE IL
MALMAISON",""
"92","064","CLOUD
SAINT",""
"92","071","SCEAUX",""
"92","072","SEVRES",""
"92","073","SURESNES",""
"92","075","VANVES",""
"92","0 76","VAUCRESSON",""
