"","DEP","COM","VILLE","","HOMME"
"","93","008","BOBIGNY","","17"
"","9 3","010","BOND Y","","30"
"","93","013","LF
BOURGET","","7"
"","93","014","SOUS
CLICHY","BOIS","11"
"","93","027","LACOURNEÛVE","","30"
"","93","029","DRANC Y","","36"
"","93","030","DUGNY","","4"
"","93","031","EPI N A Y","","40"
"","93","032","GAGNY","","24"
"","9 3","033","SUR
GOURNAY","MARNE","3"
"","93","036","GENNEVILLI ERS","","1"
"","93","039","ST
DENIS
ILE","","2"
"","93","045","LES
LILAS","","28"
"","9 3","046","LIVRY
GARGAN","","29"
"","93","047","MONTFERME IL","","10"
"","93","048","MONTREUR","","75"
"","93","049","NEUILLY","PLAISANCE","11"
"","93","050","NEUILLY
S","MARNE","12"
"","9 3","051","NO I SY
LE
GRAND","","14"
"","93","053","NO I S Y
LE
SEC","","36"
"","93","055","PANTIN","","58"
"","93","057","PAVILLON
S","BOIS","5"
"","93","059","PIFRREFITTE","","16"
"»: Wi","93","061","PRE
SAINT","GERVAIS","17"
"","93","062","LE
RA INCY","","11"
"","93","063","ROMAINVILLE","","28"
"","93","064","ROSNY
SOUS","BOIS","29"
"","93","066","SAINT
DENIS","","43"
"","93","070","OUEN
SAINT","","28"
"","9 3","071","SEVRAN","","10"
"","93","072","S TAINS","","2 2"
"","93","073","TREMBLAY
LES","GONESSE","3"
"","93","074","VAIJ JOURS","","6"
"","93","077","VILLEMOMBLE","","23"
"","93","078","VILLE PI NT E","","2"
"","93","079","VIL L ETA M EU S E","","3"
"","93","226","ETRECHY","","0"
"","93","428","MONTMORENCY","","1"
"","","","","","852"
"","94","001","S
SEINE
ABLON","","8"
"","94","002","ALFORTVILLE","","27"
"","94","003","ARC tiê IL","","22"
"","94","004","BOISSY
ST","LEGER","3"
"","94","011","BONNEU IL","","3"
"","94","015","BRY
S
MARNE","","12"
"","94","016","CACHAN","","40"
"","94","017","CHAMPIGNY
S","MARNE","58"
"","94","018","CHARENTON","","34"
"","94","019","CHENNEVIERES","","10"
"","94","021","CHEVILLY
LARUE","","12"
