"","","DEP","COM","VILLE","HOMMES","FEMMES","J . F I L L E S","TOTAL"
"","","8","033","BOURGES","1-","04","04","14"
"","","8","140","MASSAY","14","04","04","14"
"","","8","141","YEVRE
SUR
MEHUN","1*","04","04","14"
"","","8","240","SANCERGUES","14","04","04","14"
"","","8","279","VIERZON","14","04","04","14"
"","","","","","544","0 4 4","0","5 4 4"
"","","20","004","AJACCIG","14","0 4","04","1 4"
"yy/w/y.","","","","","","04","","14"
"","","20","021","ANTONY","14","","04",""
"","","","","","2","0 4 4","0 4 4","244"
"","","21","109","BRION
SUR
OURCE","1.4","04","0 4","14"
"","","21","16 6","CHENOVE","14","0 4","04","14"
"","","21","231","DIJON","14","1 4","0 4","24"
"","","","","","344","144","0 4 4","444"
"","","22","168","PERROS
GUIREC","14","04","04","14"
"","","","","","1","04 4","04 4","144"
"i",""".i""1","","","","","","",""
"","","24","037","BERGERAC","14","04","0 4","14"
"","","24","322","PERIGUEUX","34","04","04","34"
"","","","","","4 4 4","0
'Ie*","0","44 4"
"","","25","056","BESANCON","34","0 4","04","34"
"","","","","","344","044","044","344"
"","","26","182","MIRABEL
BARONNIES","14","• 0
4","04","14"
"","","","","","","0 4 4","0 4 4","144"
"","","27","020","ARNIERES
SUR
ITON","14","04","04","14"
"","","27","220","EPIEDS
BUEIL","04","1,4","04","14"
"","","27","229","EVREUX","34","04","04","34"
"","","27","681","VERNON","24","04","04","24"
"","","","","","6 4 4","144","044","744"
"","","28","085","CHARTRES","44","04","...
04","44"
"","","28","134","DREUX","44","04","14","54"
"","","28","196","ILLIERS","24","0 4","04","2 4"
"","","28","261","MÛNTIGNY
LE
CHARTIF","14","04","04","14"
"","","28","350","ILLIERS","14","04","04","14"
"","","","","","1 2 44","0 4 4","1 4 4","1 3 4 4"
"","","29","019","N
BREST","24","04","04","24"
"","","29","174","PLONEOUR
LANVERN","04","04","14","14"
"","","","","","2 44","0 4 4","1 4 4","3 4 4"
"","","30","032","BEAUCAIRE","14","04","04","14"
"","","","","","1 4 4","0 4 4","0 4 4","'ic
1 *i;"
"","","31","446","RAMONVILLE
ST
AGNE","14","04","04","14"
"","","31","555","TOULOUSE","24","04","04","24"
"","","","","","3 4 4","0 4 4","0 4 4","3 4 4"
