"DEP","COM","VILLE","HOMMES,"
"48","092","MARVEJOLS","1*"
"","","","1"
"49","007","ANGERS","1 *"
"49","086","CHAVAGNES
LES
EAUX","1*"
"49","099","CHOLET","1 Y"
"49","223","MURS
ERIGNE","2 *"
"","","","5**"
"50","074","BRECEY","2 Y"
"50","147","COUT ANC ES","1*"
"50","165","DONVILLE
LES
BAINS","I *"
"50","551","ST
SAUVEUR
LE
VICOMT","1*"
"50","592","S
VIRE
TESSY","1 *"
"","","","6**"
"51","08 3","PARIS
8 E","0*"
"51","151","PARIS
15E","0*"
"51","454","REIMS","5-"
"","","","5 Y *"
"53","2.01","SAINT
BERTHEVIN","2 Y"
"53","255","SAINTE
SUZANNE","1 *"
"","","","3**"
"54","395","NANCY","2 Y"
"","","","2**"
"55","029","BAR
LE
DUC","2*"
"55","545","VERDUN","2 Y"
"","","","4**"
"5 6","075","COETQUI DAN","2*"
"56","178","PONTIVY","2 *"
"56","260","VANNES","1 *"
"57","463","METZ","0*"
"57","634","SAULNY","1*"
"","","","1 * *"
"58","194","NEVERS","3*"
"","","","3 * *"
"59","009","ANNAPPES","2 ="
"59","017","ARMENT I ERES",""
"59","139","CAUDRY",""
"59","163","CROIX","1 1 1 1 3 2"
"59","220","FACHES
THUMESNIL",""
"59","328","LAMBERSART",""
"59","350","LILLE",""
