"VILLE","","","HOMMES","FEMMES","J.FILLES","TOTAL"
"MALO
LES","BAINS","","1*","","","1*"
"ROUBAIX","","","1*","","","2*"
"TOURCOING","","","1*","","",""
"VAL ENCIENNES","","","1 *","","","1*"
"","","","15 * *","","","17**"
"AUMONT","","","1*","","",""
"BEAUVA IS","","","4*","","","4*"
"BERTHECOURT","","","1*","","","1*"
"BRETEUIL
SUR","NOYE","","0*","","","1*"
"BORAM","","","2*","","","2*"
"BRETEUIL","","","1*","","","2*"
"CHAMBLY","","","1*","","","1*"
"CHANTILLY","","","10*","","","1
1 *"
"CLERMONT","","","4*","","","4*"
"COMPIEGNE","","","5*","","","5*"
"CREIL","","","6*","","","8*"
"EN
CREPY","VALOIS","","1*","","","1*"
"CANNES","","","1*","","","1*"
"CHAPELLE
LA","SUR","POTS","1*","","","1*"
"LAMORLAYE","","","0*","","","2*"
"MAINBEVILLE","","","1*","","","1*"
"MER Y","","","1*","","","2*"
"NANTEUIL
LE","HAUDOUIN","","1*","","","2*"
"NOAILLES","","","1*","","","1*"
"NOGENT
SUR","OISE","","3*","","","5*"
"ORRY
LA
VILLE","","","2*","","","2*"
"PIERREFONDS","","","1*","","","1*"
"PONT
SAINTE","MAXENCE","","1*","","","2*"
"RI EUX","","","4*","","","4*"
"SENLIS","","","4*","","","4*"
"VILLENEUVE","VERBERIE","","2*","","","2*"
"SOUS
VILLERS","ST","L EU","2*","","","2*"
"ST
VI N'EU IL","FI RM IN","","3*","","","3*"
"NICE","","","1*","","","2*"
"","","","65**","","","7 8**"
