"DEP","COM","VILLE","","FEMMES","","J.FILLES","TOTAL"
"77","171","ESBLY","","0","","0»","1"
"77","186","FONTAINEBLEAU","","1","","0*","4"
"77","189","FONTAINEBLEAU","","0","","0 4","1"
"77","215","GRETZ","","0","","0*","1"
"7 7","216","GREZ
SUR
LOING","","0","","0*","1"
"77","226","HERICY
SUR","SEINE","0","","0*","1"
"77","241","JIJI L L Y","","0","","0 4","1"
"77","243","LAGNY","","0","","04","1
1"
"77","249","LES IGNY","","0","","04","6"
"77","284","MEAUX","","1","","2 4","11"
"77","285","NEE
S
SEINE
LE","","0","","0 4","3"
"","","","",":","","",""
"77","288","MELUN","","0","","04","7"
"77","294","NEUF
MITRY
LE","","0","","04","4"
"77","305","MONTER EAU","","1","","0 4","2"
"77","307","MONTEVZA IN","","0","","0 4","1"
"77","326","NANDY","","0","","04","1"
"77","332","NANTOUILLET","","1","","04","3"
"77","337","NOISIEL","","0","","04","1"
"77","350","OZOIR
LA","FERRIERE","0","","04","3"
"7 7","372","POMPONNE","","0","","04","2"
"7 7","373","PONTAULT
COMBAULT","","0","","04","3"
"7 7","379","PROVINS","","0","","04","1"
"77","382","OUINC Y
VOISINS","","0","","04","1"
"77","390","ROISSY
EN
BRIE","","0","","14","2"
"77","401","SAINTE
AIJLDE","","0","","04","1"
"7 7","40 6","CHANTARE INE","","0","","04","1"
"77","458","SOUPPES
S
LOING","","0","","04","1"
"7 7","464","THORIGNY","","1","","1 4","5"
"77","479","VA IRES
S
MARNE","","1","","0 4","11"
"7 7","495","VERT
ST
DENIS","","0","","04","2"
"77","498","VIGNELY
PAR","ESBLY","0","","0 4","7"
"77","508","VILLENEUVE
LE","COMTE","0","","04","1"
"77","514","VILLEPARISIS","","0","","2 4","4"
"77","520","VILLIERS
S
GREZ","","1","","04","1"
"77","529","VOULANGIS","","0","","0 4","1"
"","","","","","4","",""
"","","","","14","","64 4","158"
"78","005","ACHERFS","","0","","0 4","2"
"78","015","ANDRES Y","","0","","04","1"
"78","029","AUBERGENVILLE","","1","","04","7"
"78","030","AUFFARGI S","","1","","04","1"
"78","043","BAI LLY","","0","","04","2"
"78","073","BOIS
D
ARCY","","3","","14","10"
"78","089","BONNIERES","","0","","04","1"
"78","092","BOUGIVAL","","1","","04","9"
"78","117","HAUT
BUC
LE","","0","","04","2"
"78","123","CARRIERES
S","POISSY","0","","04","1"
"78","124","CARRIERES","","0","","3 4","7"
"78","126","LA
CELLE
ST","CLOUD","5","","44","51"
"78","133","CHAMBOURCY","","0","","04","1"
"78","138","L
CHANTELOUP","VIGNES","0","","04","2"
