"DEP","COM","VILLE","","","HOMMES","FEMMES","TOTAL
•FILLES"
"78","146","CHATGU","","","1 7 *","0*","18
1*"
"78","158","LE
CHESNAY","","","2 5*","1*","30
4*"
"78","165","CLAYES
S
BOIS","","","10*","6*","0 *
16"
"78","172","CONFLANS
STE","HONQRIN","","8*","0*","0*"
"78","181","LE
MIXNS","","","1*","0*","0*"
"78","190","SUR
C R 01S S Y","SEINE","","5*","0*","0*"
"78","206","ECOUEVILLY","","","2*","0*","8 1 5 2 1 3 1
0*"
"78","217","EPONE","","","1*","0*","0*"
"78","224","ETANG
LA
VILLE","","","2*","0*","1*"
"78","233","FEUCHERQLLES","","","1*","0*","0*"
"78","242","LE
FONTENAY","FLEURI","","2 2*","3*","25
0*"
"7 8","255","FRENEUSE","","","1*","0*","0*"
"78","269","GAZERAN","","","1*","0*","1 1 1
0*"
"78","297","GUYANCGURT","","","1*","0*","0*"
"78","311","HOUILLES","","","15*","2*","2*
19"
"78","322","JOUY
EN
JOSAS","","","5*","0*","0*"
"78","335","LA
SOURCE","LI MAY","","2*","0*","5 2 1
0*"
"78","343","LES
LOGES
EN","JOSAS","","1*","0*","0*"
"78","350","LOUVECIENNES","","","9*","1*","0 *
10"
"78","358","MAISONS","LAFFITTE","","3 2*","2*","0 *
34"
"78","361","MANTES","","","13*","1*","14
0-"
"78","367","MARE I L
MARLY","","","2*","1*","0*
3"
"78","372","MARLY
LE
ROI","","","15*","1*","0*
16"
"78","382","MAURECOURT","","","1*","0*","0*"
"78","383","MAUREPAS
PAR","TRAPPES","","8*","1*","ë*"
"78","396","MESN IL
LE
ROI","","","2*","0*","0*"
"78","397","LE
MESNIL
ST","DENIS","","5*","0*","0 *"
"78","401","MEULAN","","","2*","0*","0 *"
"78","404","MILLEMONT","","","1*","0*","1 9 2 5 2 1 7 1 9 1 3 1
0-"
"78","418","MONTESSON
LA","BORDE","","7*","0*","G*"
"78","431","MORAINVILLI ERS","","","1*","0*","0-"
"78","440","LES
MUREAUX","","","8*","0*","1*"
"78","443","CRESSAY","NEAUPHLE","","1*","0*","0*"
"78","455","NO I S Y
LE
ROI","","","3*","0*","0*"
"78","466","ORGEVAL","","","1*","0*","0*"
"78","48 1","LE
PECO","","","22*","3*","4*
29"
"78","490","PLAISIR","","","5*","0*","5 1
0*"
"78","49 7","POIGNY
LA","FORET","","0*","0*","1 *"
"78","498","PO ISSY","","","12*","1*","0*
13"
"78","502","PORT
MARLY","","","4*","0*","0*"
"78","517","RAMBOUILLET","","","3*","0*","0*"
"78","524","PARC
DE","ROCQUENCOURT","","1*","0*","4 3 1 1 8
0*"
"78","537","ARNOULT
ST
EN","YVELIN","","1*","0*","0*"
"78","545","ST
L
CYR
ECOLE","","","8*","0*","0*"
"78","551","SAINT
GERMAIN","EN","LAY","43*","0*","4*
47"
"78","571","ST
NOM
LA","BRETECHE","","2*","2*","4
0*"
"78","586","SARTROUVILLE","","","18*","1*","3 *
22"
"78","591","SEPTEUIL","","","1*","0*","1 1
0 *"
"78","615","THIVERVAL","","","0*","1*","0*"
"78","62 1","TRAPPES","","","15*","7*","2*
24"
"78","624","TRI EL","","","4*","0*","4
0*"
