Map Square Page,lowest_map_square,highest_map_square,top_right_lat,top_right_long,is_irregular
1,1,9,,,TRUE
2,10,28,,,TRUE
3,29,48,48.899596,2.333051,FALSE
4,49,68,48.899596,2.346664023,FALSE
5,69,88,48.899596,2.360277045,FALSE
6,89,108,48.899596,2.373890068,FALSE
7,109,128,48.899596,2.387503091,FALSE
8,129,146,,,TRUE
9,147,151,,,TRUE
10,152,155,,,TRUE
11,156,173,,,TRUE
12,174,193,48.888417,2.305824955,FALSE
13,194,213,48.888417,2.319437977,FALSE
14,214,233,48.888417,2.333051,FALSE
15,234,253,48.888417,2.346664023,FALSE
16,254,273,48.888417,2.360277045,FALSE
17,274,293,48.888417,2.373890068,FALSE
18,294,313,48.888417,2.387503091,FALSE
19,314,333,,,TRUE
20,334,340,,,TRUE
21,341,346,,,TRUE
22,347,363,,,TRUE
23,364,382,,,TRUE
24,383,402,48.877238,2.278598909,FALSE
25,403,422,48.877238,2.292211932,FALSE
26,423,442,48.877238,2.305824955,FALSE
27,443,462,48.877238,2.319437977,FALSE
28,463,482,48.877238,2.333051,FALSE
29,483,502,48.877238,2.346664023,FALSE
30,503,522,48.877238,2.360277045,FALSE
31,523,542,48.877238,2.373890068,FALSE
32,543,562,48.877238,2.387503091,FALSE
33,563,582,48.877238,2.401116114,FALSE
34,583,602,,,TRUE
35,603,620,,,TRUE
36,621,640,48.866059,2.251372864,FALSE
37,641,660,48.866059,2.264985886,FALSE
38,661,680,48.866059,2.278598909,FALSE
39,681,700,48.866059,2.292211932,FALSE
40,701,720,48.866059,2.305824955,FALSE
41,721,740,48.866059,2.319437977,FALSE
42,741,760,48.866059,2.333051,FALSE
43,761,780,48.866059,2.346664023,FALSE
44,781,800,48.866059,2.360277045,FALSE
45,801,820,48.866059,2.373890068,FALSE
46,821,840,48.866059,2.387503091,FALSE
47,841,860,48.866059,2.401116114,FALSE
48,861,880,48.866059,2.414729136,TRUE
49,881,887,,,TRUE
50,888,902,,,TRUE
51,903,922,48.85488,2.264985886,FALSE
52,923,942,48.85488,2.278598909,FALSE
53,943,962,48.85488,2.292211932,FALSE
54,963,982,48.85488,2.305824955,FALSE
55,983,1002,48.85488,2.319437977,FALSE
56,1003,1022,48.85488,2.333051,FALSE
57,1023,1042,48.85488,2.346664023,FALSE
58,1043,1062,48.85488,2.360277045,FALSE
59,1063,1082,48.85488,2.373890068,FALSE
60,1083,1102,48.85488,2.387503091,FALSE
61,1103,1122,48.85488,2.401116114,FALSE
62,1123,1142,48.85488,2.414729136,FALSE
63,1143,1147,,,TRUE
64,1146,1171,48.843701,2.264985886,TRUE
65,1172,1190,48.843701,2.278598909,TRUE
66,1191,1210,48.843701,2.292211932,FALSE
67,1211,1230,48.843701,2.305824955,FALSE
68,1231,1250,48.843701,2.319437977,FALSE
69,1251,1270,48.843701,2.333051,FALSE
70,1271,1290,48.843701,2.346664023,FALSE
71,1291,1310,48.843701,2.360277045,FALSE
72,1311,1330,48.843701,2.373890068,FALSE
73,1331,1350,48.843701,2.387503091,FALSE
74,1351,1370,48.843701,2.401116114,FALSE
75,1371,1390,48.843701,2.414729136,TRUE
76,1391,1408,,,TRUE
77,1409,1426,48.843701,2.441955182,TRUE
78,1427,1446,48.843701,2.455568205,FALSE
79,1447,1461,,,TRUE
80,1462,1468,,,TRUE
81,1469,1474,,,TRUE
82,1475,1488,,,TRUE
83,1489,1507,,,TRUE
84,1508,1527,48.832522,2.333051,FALSE
85,1528,1547,48.832522,2.346664023,FALSE
86,1548,1567,48.832522,2.360277045,FALSE
87,1568,1587,48.832522,2.373890068,FALSE
88,1588,1608,48.832522,2.387503091,FALSE
89,1609,1619,,,TRUE
90,1620,1632,,,TRUE
91,1633,1648,,,TRUE
92,1649,1668,48.832522,2.441955182,FALSE
93,1669,1688,48.832522,2.455568205,FALSE
94,1689,1703,,,TRUE
95,1704,1708,,,TRUE
96,1709,1718,,,TRUE
97,1719,1729,,,TRUE
98,1730,1737,,,TRUE
99,1739,1743,,,TRUE
100,1744,1751,,,TRUE
101,1752,1754,,,TRUE
